game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,55,+7.000,+7.000,+96.810,+97.888,+100.555,+107.672,+99.336,+103.496,+1.384,+3.254,+7.000,+97.813,+103.502,+101.416,+1.810
0,56,+3.000,+3.000,+100.555,+104.500,+101.371,+117.053,+101.053,+108.685,+0.357,+5.917,+3.000,+102.528,+109.144,+104.869,+3.027
0,57,+12.000,+12.000,+97.284,+101.443,+101.530,+145.306,+100.495,+121.204,+1.441,+18.066,+12.000,+99.918,+123.375,+110.850,+8.897
0,58,+9.000,+9.000,+97.154,+100.555,+103.179,+129.110,+100.544,+112.815,+1.516,+11.205,+9.000,+100.278,+115.320,+106.680,+5.632
0,59,+1.000,+1.000,+96.407,+97.133,+96.407,+97.133,+96.407,+97.133,+0.000,+0.000,+1.000,+96.770,+96.770,+96.770,+0.000
0,60,+12.000,+12.000,+98.237,+100.379,+103.608,+126.119,+100.810,+109.099,+1.544,+7.577,+12.000,+99.308,+113.060,+104.955,+4.187
0,61,+14.000,+14.000,+98.121,+100.267,+105.121,+171.818,+101.064,+119.246,+1.809,+24.483,+14.000,+99.393,+135.910,+110.155,+12.489
0,62,+13.000,+13.000,+95.822,+98.983,+101.652,+122.598,+99.777,+108.788,+1.767,+8.816,+13.000,+97.912,+111.611,+104.283,+4.577
0,63,+10.000,+10.000,+97.639,+99.336,+123.493,+129.588,+102.545,+111.078,+7.163,+12.584,+10.000,+98.939,+126.541,+106.811,+8.885
0,64,+6.000,+6.000,+97.554,+101.775,+101.446,+125.178,+99.975,+109.990,+1.408,+7.220,+6.000,+101.066,+111.366,+104.983,+3.147
0,65,+13.000,+13.000,+96.865,+99.336,+103.156,+133.763,+100.490,+116.021,+2.203,+16.448,+13.000,+98.333,+118.443,+108.255,+8.792
